Description	Answer
"Part III - Administrative, Procedural, and Miscellaneous
 
 Relief with Respect to Employment Tax Deadlines Applicable to Employers Affected by the Ongoing Coronavirus (COVID-19) Disease 2019 Pandemic
  
 Notice 2020-65
 On August 8, 2020, the President of the United States issued a Presidential Memorandum directing the Secretary of the Treasury (Secretary) to use his authority pursuant to section 7508A of the Internal Revenue Code (Code) to defer the withholding, deposit, and payment of certain payroll tax obligations. Accordingly, the Secretary has determined that employers that are required to withhold and pay the employee share of social security tax under section 3102(a) or the railroad retirement tax equivalent under section 3202(a) are affected by the COVID-19 emergency for purposes of the relief described in the Presidential Memorandum and this notice (Affected Taxpayers). For Affected Taxpayers, the due date for the withholding and payment of the tax imposed by section 3101(a), and so much of the tax imposed by section 3201 as is attributable to the rate in effect under section 3101(a), on Applicable Wages, as defined herein, (collectively Applicable Taxes) is postponed until the period beginning on January 1, 2021, and ending on April 30, 2021.
 
  
 Applicable Wages
 For purposes of this notice, Applicable Wages means wages as defined in section 3121(a) or compensation as defined in section 3231(e) paid to an employee on a pay date during the period beginning on September 1, 2020, and ending on December 31, 2020, but only if the amount of such wages or compensation paid for a bi-weekly pay period is less than the threshold amount of $4,000, or the equivalent threshold amount with respect to other pay periods. The determination of Applicable Wages is made on a pay period-by-pay period basis. If the amount of wages or compensation payable to an employee for a pay period is less than the corresponding pay period threshold amount, then that amount is considered Applicable Wages for the pay period, and the relief provided in this notice applies to those wages or that compensation paid to that employee for that pay period, irrespective of the amount of wages or compensation paid to the employee for other pay periods.
 
 Payment of Deferred Applicable Taxes
 
 An Affected Taxpayer must withhold and pay the total Applicable Taxes that the Affected Taxpayer deferred under this notice ratably from wages and compensation paid between January 1, 2021 and April 30, 2021 or interest, penalties, and additions to tax will begin to accrue on May 1, 2021, with respect to any unpaid Applicable Taxes. If necessary, the Affected Taxpayer may make arrangements to otherwise collect the total Applicable Taxes from the employee."	"Question 1: Why are my Social Security taxes being deferred? 
  
 Answer: In order to provide relief during the COVID-19 pandemic, a Presidential Memorandum was issued on August 8, 2020, and guidance followed by Internal Revenue Service on August 28, 2020, to temporarily defer Social Security (Old Age, Survivors, and Disability Insurance (OASDI)), as seen on the Army, Air Force, and Navy Service Members Leave and Earnings Statement as “FICA-SOC SECURITY”) tax withholdings. The Social Security tax is labeled as “Social Security” on the LES for the Marine Corps.
 
 Presidential Memorandum link: https://www.federalregister.gov/documents/2020/08/13/2020-17899/deferring-payroll-tax-obligations-in-light-of-the-ongoing-covid-19-disaster
 
 Question 2: What is the Social Security tax?
  
 Answer: Social Security tax is also called the Old Age, Survivors, and Disability Insurance (OASDI) tax and is required by law. The tax funds the Social Security program, which is administered by the Social Security Administration. 
 
 Question 3: Where are the Social Security taxes shown on my LES?
  
 Answer: The Leave and Earnings Statement (LES) for the Air Force, Army and Navy member list the Social Security taxes as “FICA-SOC SECURITY” within the deductions section. For the Marine Corps this deduction is listed as “Social Security” on the LES.
 
 Question 4: How is the Social Security tax calculated?
  
 Answer: The Social Security tax is set by at law at 6.2%. The tax is calculated as 6.2% of a military member’s basic pay. For example, an E5 with 8 years of service has a monthly basic pay rate of $3,306.30. Assuming the E5 was paid for the whole month of duty, the monthly Social Security tax liability would be calculated at 6.2% of $3,306.30, which equals $204.99. Members can use their August or prior Leave and Earnings Statements as a good reference for their typical Social Security tax withholding amount. 
 
 Question 5: Can I opt-out of the deferred Social Security tax withholding? 
  
 Answer: No. The Office of Management and Budget (OMB) directed all Executive Branch Agencies to implement the tax deferral. As such, no Payroll Providers, Departments/Agencies, or service members will be able to opt-in/opt-out of the deferral. 
 
 Question 6: Does this affect any of my other tax withholdings?
  
 Answer: No. Pursuant to the Department of Treasury and the Internal Revenue Service Guidance, this only affects your Social Security tax withholdings, which will be deferred from September 2020 through the end of the calendar year 2020.
 
 Department of Treasury and the Internal Revenue Service guidance link: 
 https://www.irs.gov/pub/irs-drop/n-20-65.pdf 
 
 Question 7: What is the wage limit amount for determining who will have their Social Security tax withholdings deferred through the end of calendar year 2020? 
  
 Answer: If your monthly rate of basic pay is less than $8,666.66, your Social Security taxes will be deferred. If your monthly rate of basic pay is at or above the threshold, your social security tax withholding will not be affected by this temporary deferral. 
 
 The monthly rate of $8,666.66 is determined as: 
 
 The IRS rate of $4,000 is based on a bi-weekly pay schedule (26 pay periods), while your military pay is calculated on a monthly pay schedule (12 months). To convert the bi-weekly rate of $4,000 to monthly, multiply $4,000 X 26 (pay periods) = $104,000 and divide by 12 (months), which will equal $8,666.66 for the monthly rate. 
 
 Question 8: What grades are impacted? 
  
 Answer: 
 • Enlisted service members will have their Social Security taxes deferred. 
 • Officers at the grade O1-O4, the grade of O5 with less than 16 years of service, and the grade of O6 with less than 14 years of service will have their Social Security taxes deferred.
 • All officers at the grade of 05 with 16 or more years of service, grade of O6 with 14 or more years of service, and all O7s through O10s will not have their Social Security taxes deferred. 
 • All warrant officers will have their Social Security taxes deferred except those at a grade of W5 with 24 or more years of service. 
 
 Question 9: Will I be required to pay back the Social Security taxes that are deferred? 
  
 Answer: Yes. Current IRS guidance indicates the payment of the deferred taxes is postponed until January 1, 2021. The deferred Social Security taxes not withheld from wages during 2020 will be collected from your wages between January 1, 2021, and April 30, 2021. Additional information on the collection process will be provided in the future.
 
 Question 10: How much will my payroll provider collect during each pay period starting in January 1, 2021 through April 30, 2021?
  
 Answer: As more information becomes available on the collection of the deferred Social Security taxes, it will be posted here. 
 
 Question 11: Can the deferred Social Security tax liability be waived or forgiven? 
  
 Answer: Only Congress has the authority to forgive taxes. Deferral of the Social Security tax only postpones when the taxes are due. 
 
 Question 12: Can I select my repayment terms, by lump sum or evenly?
  
 Answer: Pursuant to current Department of Treasury and Internal Revenue Service Guidance, total deferred Social Security taxes must be withheld evenly from wages beginning January 1, 2001, and ending on April 30, 2021. As more information becomes available on the collection of the deferred Social Security taxes, it will be posted here. 
 
 Question 13: Do I have to pay interest and penalties if not paid after April 2021?
  
 Answer: As more information becomes available on the application of interest and penalties, it will be posted here. 
 
 Question 14: I am separating from the service before the end of this year; will I be required to pay it back? 
  
 Answer: If you separate or retire in 2020 before the Social Security tax can be collected in 2021, you are still responsible for the Social Security tax repayment. As more information becomes available on the collection of any deferred Social Security taxes, it will be posted here. 
 
 Question 15: How will this affect my 2020 and 2021 W-2? 
  
 Answer: As more information and guidance becomes available from the Internal Revenue Service on how the deferral and collections affect your 2020 and 2021 W-2s, it will be posted here. 
 
 Question 16: When will the payroll tax deferral begin? 
  
 Answer: The deferral of the withholding of the Social Security tax for service members will be effective for mid-month pay September."
How do I in-process with Finance?	In-processing: https://www.dyess.af.mil/Support-Agencies-Programs/Finance/
"Hello,
 
 
 I have lived/worked/owned property in Texas for 1+ years now. Can the Finance office provide any information on the process to update my residency from NC to TX?
 
 
 Thank you!"	
I am having trouble with my SDAP entitlement.	"If you are having problems with SDAP, please contact MPF first to confirm that the transaction has been inputted. If the transaction has been inputted then contact finance if you do not see your SDAP on your LES.
 
 
 If you are inquiring about SDAP increases, please start the process with your CSS."
Please assist.	
how do i switch my pay from twice a month to once a month.	
I have currently just made it to clear air force base and was wanting to know if someone could help me with some questions that I have please. My phone number is (405)694-0645.	
"Good morning,
 
 
 I have a member who has been attempting to submit an inquiry but the online inquiry website tells her that her EDIPI (DoD ID number) is not valid. The member has attempted to update her profile on the website but it still tells her the number is invalid.
 
 
 The member is A1C Megan Peterson 1257335050.
 email: megan.peterson.4@us.af.mil
 
 
 Any help that can you can provide would be appreciated.
 
 
 V/r,
 Kelsey M. Torrez, TSgt, USAF
 NCOIC, Cyber Systems Operations
 691 COS, Directory Services
 
 DSN 314-478-7161 Comm +49 06371-405-7161"	
My retirement date is Oct 2, 2020. I submitted the information, but not sure what I need from you all to complete this process?	
If an inquiry has been resolved how can we delete it or complete it from the Portal system?	
"Sir/ Ma'am,
 
 I was promoted to E-3 after the completion of tech school and Im still receiving E-1 pay, how would i go about fixing this?
 
 
 Thank you for your time
 v/r
 
 
 A1C Prince, Isaiah
 LRS/LGRF
 Fuels Distrobution"	
"Good Morning Sir/Ma'am,
 
 
 I am contacting you in regards to me In Processing to 647 LRS in Hickam AFB. I arrived here at 21 Sep 2020 then completed my 2 weeks of quarantine. I am allowed to live off-base and to receive BAH and BAS in accordance to that. If you have any further questions or comments feel free to contact me."	
319 CPTS Customer Service Hours	319 CPTS Customer Service Hours
319 CPTS Briefings	319 CPTS Briefings
PCS Supporting Documents	"The following items are required (when applicable): PCS Orders, any amendments, memorandums in lieu of amendments, receipts for any reimbursable expenses $75 or more, receipts for lodging at port, temporary lodging receipts, TDY en route for PCS lodging receipts, OCONUS lodging receipts, lodging non-availability letter (if lodged off base), airfare receipts, itinerary/receipt for government funded/contracted flights (rotator/Patriot Express/Etc.), vehicle scratch and dent form signed by VPC and individual receiving vehicle (when authorized vehicle shipment and picked up en route for PCS), and GTC/Bank statements showing currency exchange rates and amounts charged in USD when expenses are in foreign currency.
 
 Requirements change from time to time so please understand that this may not be an all inclusive list or your situation may not be as common as to list the requirement. Some receipts are always required regardless of the dollar amount to include lodging, airfare/any transportation fare, and rental car (to include fuel)."
How days before you PCS can you fill for DLA? Thanks!	Advance DLA can be submitted as early as 10 days from final out date.
CPS sending on behalf of former employee inquiring on payment of annual leave following his 8 Aug resignation. Who can he contact for information? Please advise	
"I just want to know if I am on the deferment plan for federal taxes? Because I see that they are still being taken out?
 
 
 Thank you"	
When are evacuation travel voucher payments going to be paid back?	
What are the steps to be reimbursed for POV storage when coming back from deployment?	
"Morning,
 
 
 Im curious if anyone knows how to reestablish a TSP loan payment to auto deduct from a paycheck. Due to my PCS'ing I need to get it reestablished.
 
 
 Appreciate any response.
 
 
 Thank you!"	
how do i do efinance?	"You can find the most current ""Aviano eFinance Guide"" under Announcements in the CSP, which will assist you in filing your PCS travel voucher. eFinance Link:
 https://efinanceworkspace.wpafb.af.mil"
I was just wondering what I needed to do to accomplish my separation out processing before my final out on Friday. I thought finance was going to be back in office this week but saw that you are out of office indefinitely.	
There is no remark on my orders about receiving DLA. Is that something the MPF needs to fix or is DLA automatic?	
I am separating but I will be remaining in the local area of Travis AFB. Will I still need to fill out a travel voucher? I emailed the finance customer service but I never received the packet that the virtual out processing checklist describes. I found the link on the finance page for separations, but I am not sure what I am required to send in due to the fact that I am not moving after I separate.	
I am medically retiring with less than 20 years, where can I find what my projected retirement pay will be, and when should I expect to receive first payment	
"I am trying to calculate how much I will receive back for my travel pay with TLE & the Quarantine reimbursement. What is the best way to do this? I keep finding conflicting information on the internet. 
 
 
 Thank you in advance!"	
"How do you want me to send you information/attachments regarding new employees, new certifiers, etc?
 
 
 
 
 
 
 
 
 Pollyanna M.K. Gero
 AFOSI, 3rd Field Investigations Region
 Unit Program Coordinator
 pollyanna.gero@us.af.mil
 
 Cell (618) 792-6275"	
"Do you want the civilian employees under my care to contact CSP directly with their questions and/or concerns regarding $ instead of me passing it onto you?
 
 
 Pollyanna M.K. Gero
 AFOSI, 3rd Field Investigations Region
 Unit Program Coordinator
 pollyanna.gero@us.af.mil
 
 Cell (618) 792-6275"	
"How do you want the 3821s submitted?
 
 
 Pollyanna M.K. Gero
 AFOSI, 3rd Field Investigations Region
 Unit Program Coordinator
 pollyanna.gero@us.af.mil
 
 Cell (618) 792-6275"	
"My computer took a crash recently, would you send me the list again of what is needed for a new employee you require for ATAAPS, etc.
 
 
 Pollyanna M.K. Gero
 AFOSI, 3rd Field Investigations Region
 Unit Program Coordinator
 pollyanna.gero@us.af.mil
 
 Cell (618) 792-6275"	
"Hello I was wondering if on my inquiry it says waiting on military pay technician for a week in a half if they are just reviewing it and it just takes time or they forgot about my inquiry? Also if I submitted everything on the 17th of October how long will it be until I see BAH and BAS in my pay check?
 
 
 Thanks you"	
"Marriage
 Divorced
 Single, birth of a child"	You will need to complete an AF Form 594 and provide the appropriate documentation for the status change i.e. marriage certificate, divorce decree, birth certificate etc.
How to delete an inquiry.	
I'm trying to access my LESs from Sept ember and Oct 2020 but MyPay said that they are not available. How can I access them?	
What PCS travel allowances are authorized.	"Per diem: You are authorized 100% of the standard CONUS per diem rate (currently $151), which includes Meals and Incidental Expenses (M&IE). You are also authorized Lodging Plus for flying and TDY, and/or MALT Plus for POC Travel. Applicable M&IE, Lodging Plus, and MALT Plus are multiplied by the number of actual travel days not to exceed the authorized travel days. Your spouse and each child 12 or over are authorized 75% of your allowances, and each child under 12 is authorized 50% of your allowance. If your driving involves OCONUS locations, your per diem rate would be the OCONUS locality rate.
 PCS allowances while flying: Your per diem will be based on the locality rate of your gaining PDS or authorized stop over point. You will get per diem for the actual travel time used, not to include any travel for leave. Normally, for travel in CONUS, one travel day is allowed for travel by air. Your spouse and children 12 and over are authorized 75% of your per diem allowance; children under 12 are authorized 50% of your per diem allowance.
 
  If you purchase your own airfare, you will be reimbursed not to exceed the cost of government procured tickets for the official travel. NOTE: You cannot purchase transoceanic or non-US carrier airfare for your own transportation; any transoceanic or OCONUS travel arrangements must be made through your servicing Transportation Management Office (TMO). Listed below is a general description of PCS travel and transportation allowances. Actual allowances depend on your individual travel circumstances. Member and Dependent Travel and Transportation Allowances: When you travel under a PCS order, the government either furnishes transportation, reimbursement, or a payment in lieu of transportation at rates found at the per diem link below.Generally, you select the transportation mode (i.e., airplane, train, bus, POC) for travel between the old and new Permanent Duty Stations (PDS).House Hold Goods (HHG) Transportation and Storage: You are authorized HHG transportation and/or storage. Actual weight allowance will depend on your grade and dependency status. Traffic Management Office (TMO) can provide weight allowances.POV Transportation: If you are ordered to make a PCS to, from, or between OCONUS PDSs, you may be authorized to have one POV, transported to the vehicle processing center serving the member's new PDS or other authorized place. The POV must be for personal use by either you or your dependents.Dislocation Allowance: DLA partially reimburses you for the relocation expenses of a PCS or evacuation. The rate is based on your grade and dependency status.
  Rates are available at the DLA link below.TLA: (overseas only) Temporary Lodging Allowance (TLA) partially offsets the added living expenses within OCONUS incurred by a member and dependents incident to a PCS. To estimate your TLA allowance, please use ourTLA Calculator.TLE Allowance: (Continental USA only)Temporary Lodging Expense (TLE) allowance partially offsets the added living expenses within CONUS incurred by a member and dependents incident to a PCS. To estimate your TLE allowance, please use ourTLE Calculator.
 
  To calculate an estimate of your CONUS POV PCS reimbursement, please use our Military PCS Calculator.
 
  To file a PCS settlement voucher, please use E-Finance."
Is there a way to delete an inquiry once it has been resolved?	
How long does it take to process an OHA Advancement once approved and is it direct deposit or tied into your next pay check?	
Has the 2021 Pay Period Calendar been published? I was unable to locate it on the DFAS, OPM and DCPAS webpages.	"GSA has a good calendar here :
 https://www.gsa.gov/cdnstatic/GSA_Payroll_Calendar2021.pdf"
How do I file an accrual voucher? What all do I need to upload?	
When does the use or loose Civilian leave need to be used by?	
So instead of getting paid on the 1st and 15th, I would like to know how to change that into one pay.	
At my gaining station I will have to quarantine and house hunt. How many days I’m allowed to stay at lodging to be reimbursed for quarantine and house hunt?	
If an employee is on second or third shift, when they work for example on first shift. Do they rate regular overtime? Or do they rate over time with their shift premium?	
On the AF220 what is the MPO NO?	
I have not submitted for CZTE outside of deployment, what documents are required to be submitted and can I submit for the my entire crew?	
"· MILPAY Active Component: Begin collections as planned with mid-month January and collect in even amounts over 24 increments (12 Mid-Month and 12 End of Month collections)
 
 
 · MILPAY Reserve Component: Begin collections with the mid-month disbursement vs. the first pay run of the month to be in alignment with Active Component and to ensure time for programming and testing in advance of collections. We will collect at 2% of pay until the full deferral has been collected from the member.
 
 
 · No changes are recommended for Separated Members. MILPAY, CIVPAY and NAF are moving forward establishing debts for separated members and ensuring that taxes are paid so that W-2s can be issued reflecting the accurate tax information.
 
 
 
 MILITARY –
 Q1. On the Deferred Social Security repayment being extended to 12 months, will DFAS auto set up the collection rate?
 Q2. Does the minimum $50 per month repayment in the DoD FMR factor into the repayments?
 Q3. Will a member have the option to accelerate repayment if they choose?
 
 Q4. If a member is due to separate or retire prior to 31 Dec 2021 will they have the balance due collected prior to separation?"	"MILITARY 
 
  A1: DFAS will establish the collection rate for the 12 month collection period. There will be a difference between DJMS-AC and DJMS-RC collections. Given that members paid out of DJMS-RC have intermittent duty schedules, it was not feasible to split the deferred amount by equal dollar amounts, as some members will not be on consistent duty through the collection period. Debts will be set up in both DJMS-AC and DJMS-RC to collect the deferred OASDI, with LES remarks updating the debt balance through the collection period. DJMS-AC debts created will divide the deferred collections evenly among the 24 pay periods. DJMS-RC debts created will collect at a rate of 2% of net pay (vs the 6% originally planned when the collection period was 4 months). 
 
 A2: No, does not apply to collection of taxes. We are using debt FIDs and TINs in the pay system as a mechanism to collect the deferred tax amounts. It was the most feasible way that we could accomplish within the pay system to allow for tracking and reporting.
 A3: No, with the volume of members with taxes deferred, adding this option would present too much risk.
 A4: For members separating in 2020 (during the deferral period), the debts will be established as Out of Service debts and collected through our Debt & Claims Management Office. For members separating in 2021, the remainder of the uncollected deferred amount will be collected from final pay. Any residual amount will be set up as an Out of Service debt."
"· CIVPAY: Begin collections as planned with Pay Period End (PPE) 1/16/2021 and collected in even amounts over 24 pay periods ending with PPE 12/4/2021
 · No changes are recommended for Separated Members. MILPAY, CIVPAY and NAF are moving forward establishing debts for separated members and ensuring that taxes are paid so that W-2s can be issued reflecting the accurate tax information.
 
 CIVILIAN –
 Q1. On the Deferred Social Security repayment being extended to 12 months, will DFAS auto set up the collection rate?
 Q2. Does the minimum $50 per month repayment in the DoD FMR factor into the repayments?
 Q3. Will an employee have the option to accelerate repayment if they choose?
 Q4. If an employee is due to separate or retire prior to 31 Dec 2021 will they have the balance due collected prior to separation?"	"CIVILIAN –
 A1: DFAS will establish collections at the 1/24th rate of the total deferral amount in DCPS.
 A2 : No the debt collection does not apply to those that remain employees; these are not actually debt repayments, but collection of deferred taxes. We are using the debt module in DCPS, because that is the best means of tracking, but they are not actually debts until the employee separates.
 A3: No, employees will not have an option for repayment if they remain employees paid by DFAS. With over a million employees with taxes deferred, adding in additional options presents too great a risk.
 A4: If the employee separates for whatever reason prior to full collection PPE 12/4/21, DCPS will attempt to collect the remainder from the employee’s final pay. If unable to collect the full amount, a debt will be established."
How do I update the state I claim for tax purposes? I currently claim Oregon because that is where I entered the Military however I am retiring soon and have no connection to Oregon anymore and would like to claim Idaho where I will be moving to upon retirement.	
What is the process for submitting CZTE for a particular month?	
I missed the deadline to respond about my debt. Can I repay it in a lump sum? it has not been 2 pay periods.	
I would like to update my W-4 for Pay Period 2 pay date on 22 January 2021.	
What is the new daily rate for PCS per diem while traveling via POV?	
I was wondering if there is a form I need to fill out to receive dislocation allowance?	No, dislocation allowance will automatically pay with your PCS voucher if you are entitled to it and did not receive advance DLA. If you did not receive DLA in your PCS voucher payment but are entitled to it, you may submit a supplemental voucher.
"Typically when a member goes TDY, their accruals are processed in DTS.
 However, when you have a TDY-enroute during a PCS, you have to manually file your accrual vouchers with finance."	Please complete the attached accrual worksheet, and submit a CSP inquiry. Be sure to attached your completed accrual worksheet, as well as a copy of your PCS orders identifying that you're performing a TDY en-route.
What questions do you have about deployment entitlements?	Please see attached deployment entitlement handout.
Outprocessing	Please provide:Copy of orders (all pages, current RNLTD, if no provide MFR or amendment)Departure dateFinal out date
Debt	"Please do not mail check to finance. If paying check or money order with exact amount of the debt and individually per debt payable to U.S. Treasury, Monday 0900-1100, 1300-1440.
 
 
 Thank you."
In-process	Please see your sponsor/CSS to schedule an appointment for the Welcome Center.
"I have an inbound member who is joined spouse. He does not have to ROM, but his spouse does. Is he permitted to delay his finance inprocessing date to align with his spouse's date so they can attend together, or will he have to complete his finance inprocessing right away since he is not required to ROM?
 
 
 V/r,
 
 SMSgt Sarah Bright"	
The TLE Claim Worksheet says that a Non-Availability Statement is required if I am filing for reimbursement for off-base quarters. If I've already made off-base arrangements and the rate is cheaper than on-base lodging, do I still require a Non-A to file my claim?	Yes. Military members are always directed to lodge on-base first.
"Good Afternoon,
 
 Are there any plans to do in-person travel voucher in-processing again soon?"	
